genus,species,family,WD (g/cm3),level,source
Guapira,campochagres,Nyctaginaceae,0.671,genus,genus average
Guapira,standleyana,Nyctaginaceae,0.671,genus,genus average
Guapira,costaricana,Nyctaginaceae,0.671,genus,genus average
Guarea,glabra,Meliaceae,0.478,species,local data base
Guarea,arbusto,Meliaceae,0.607,genus,genus average
Guarea,sherman,Meliaceae,0.607,genus,genus average
Guarea,grandifolia,Meliaceae,0.545,species,local data base
Guarea,guidonia,Meliaceae,0.565,species,local data base
Guarea,pterorhachis,Meliaceae,0.77,species,local data base
Guarea,bullata,Meliaceae,0.607,genus,genus average
Guarea,kunthiana,Meliaceae,0.616,species,local data base
Guarea,rhopalocarpa,Meliaceae,0.607,genus,genus average
Guarea,cf.macrophylla,Meliaceae,0.607,genus,genus average
Guarea,hoffmanniana,Meliaceae,0.607,genus,genus average
Guatteria,amplifolia,Annonaceae,0.511,species,local data base
Guatteria,aberrans,Annonaceae,0.577,genus,genus average
Guatteria,alata,Annonaceae,0.577,genus,genus average
Guatteria,allenii,Annonaceae,0.577,genus,genus average
Guatteria,dolichopoda,Annonaceae,0.577,genus,genus average
Guatteria,jefensis,Annonaceae,0.577,genus,genus average
Guatteria,sessilicarpa,Annonaceae,0.577,genus,genus average
Guatteria,lucens,Annonaceae,0.577,genus,genus average
Guatteria,ucayalina,Annonaceae,0.577,genus,genus average
Guazuma,ulmifolia,Malvaceae,0.519,species,local data base
Guettarda,crispiflora,Rubiaceae,0.728,genus,genus average
Guettarda,foliacea,Rubiaceae,0.728,genus,genus average
Guettarda,odorata,Rubiaceae,0.728,genus,genus average
Guettarda,ramuliflora,Rubiaceae,0.728,genus,genus average
Gustavia,dubia,Lecythidaceae,0.638,genus,genus average
Gustavia,fosteri,Lecythidaceae,0.638,genus,genus average
Gustavia,hexapetala,Lecythidaceae,0.716,species, global data base
Gustavia,nana,Lecythidaceae,0.638,genus,genus average
Gustavia,superba,Lecythidaceae,0.58,species,local data base
Gyranthera,darienensis,Malvaceae,0.37,genus,genus average
Hamelia,axillaris,Rubiaceae,0.618,species,local data base
Hamelia,patens,Rubiaceae,0.763,species,local data base
Hampea,appendiculata,Malvaceae,0.245,species,local data base
Hampea,micrantha,Malvaceae,0.318,genus,genus average
Handroanthus,guayacan,Bignoniaceae,0.592,stand-level average,
Handroanthus,impetiginosus,Bignoniaceae,0.592,stand-level average,
Handroanthus,ochraceus,Bignoniaceae,0.592,stand-level average,
Hasseltia,floribunda,Salicaceae,0.53,species,local data base
Hedyosmum,bonplandianum,Chloranthaceae,0.45,genus,genus average
Hedyosmum,scaberrimum,Chloranthaceae,0.45,genus,genus average
Heisteria,acuminata,Olacaceae,0.696,genus,genus average
Heisteria,concinna,Olacaceae,0.64,species,local data base
Heisteria,costaricensis,Olacaceae,0.696,genus,genus average
Helicostylis,tovarensis,Moraceae,0.669,genus,genus average
Helicteres,guazumifolia,Malvaceae,0.592,stand-level average,
Heliocarpus,americanus,Malvaceae,0.221,species, global data base
Henriettea,succosa,Melastomataceae,0.69,genus,genus average
Henriettea,fascicularis,Melastomataceae,0.69,genus,genus average
Henriettea,tuberculosa,Melastomataceae,0.69,genus,genus average
Henriettea,trachyphylla,Melastomataceae,0.69,genus,genus average
Hernandia,didymantha,Hernandiaceae,0.28,species,local data base
Hernandia,stenura,Hernandiaceae,0.292,genus,genus average
Herrania,nycterodendron,Malvaceae,0.592,stand-level average,
Herrania,purpurea,Malvaceae,0.592,stand-level average,
Hevea,brasiliensis,Euphorbiaceae,0.467,species,local data base
Hieronyma,oblonga,Phyllanthaceae,0.592,stand-level average,
Hieronyma,alchorneoides,Phyllanthaceae,0.592,stand-level average,
Hippomane,mancinella,Euphorbiaceae,0.5,species, global data base
Hippotis,panamensis,Rubiaceae,0.592,stand-level average,
Hirtella,americana,Chrysobalanaceae,0.793,genus,genus average
Hirtella,guatemalensis,Chrysobalanaceae,0.793,genus,genus average
Hirtella,latifolia,Chrysobalanaceae,0.793,genus,genus average
Hirtella,racemosa,Chrysobalanaceae,0.775,species,local data base
Hirtella,triandra,Chrysobalanaceae,0.683,species,local data base
Hirtella,tubiflora,Chrysobalanaceae,0.793,genus,genus average
Homalium,racemosum,Salicaceae,0.795,species, global data base
Hortia,brasiliana,Rutaceae,0.901,genus,genus average
Humiriastrum,diguense,Humiriaceae,0.69,genus,genus average
Hura,crepitans,Euphorbiaceae,0.367,species,local data base
Hybanthus,denticulatus,Violaceae,0.67,genus,genus average
Hymenaea,courbaril,Fabaceae,0.792,species,local data base
Hymenandra,pittieri,Primulaceae,0.592,stand-level average,
Hymenolobium,mesoamericanum,Fabaceae,0.642,genus,genus average
Hyperbaena,tonduzii,Menispermaceae,0.592,stand-level average,
Ilex,guianensis,Aquifoliaceae,0.563,genus,genus average
Inga,ciliata,Fabaceae,0.578,genus,genus average
Inga,alba,Fabaceae,0.586,species,local data base
Inga,bella,Fabaceae,0.578,genus,genus average
Inga,capitata,Fabaceae,0.592,species,local data base
Inga,chocoensis,Fabaceae,0.578,genus,genus average
Inga,multijuga,Fabaceae,0.578,genus,genus average
Inga,dwyeri,Fabaceae,0.578,genus,genus average
Inga,edulis,Fabaceae,0.587,species, global data base
Inga,filiformis,Fabaceae,0.578,genus,genus average
Inga,goldmanii,Fabaceae,0.578,genus,genus average
Inga,jefensis,Fabaceae,0.578,genus,genus average
Inga,marginata,Fabaceae,0.552,species,local data base
Inga,mucuna,Fabaceae,0.578,genus,genus average
Inga,pauciflora,Fabaceae,0.578,genus,genus average
Inga,pezizifera,Fabaceae,0.607,species,local data base
Inga,polita,Fabaceae,0.578,genus,genus average
Inga,portobellensis,Fabaceae,0.578,genus,genus average
Inga,punctata,Fabaceae,0.56,species,local data base
Inga,ruiziana,Fabaceae,0.578,genus,genus average
Inga,sapindoides,Fabaceae,0.578,genus,genus average
Inga,sertulifera,Fabaceae,0.65,species,local data base
Inga,spectabilis,Fabaceae,0.578,genus,genus average
Inga,cocleensis,Fabaceae,0.578,genus,genus average
Inga,umbellifera,Fabaceae,0.724,species,local data base
Inga,urceolata,Fabaceae,0.578,genus,genus average
Inga,venusta,Fabaceae,0.578,genus,genus average
Inga,vera,Fabaceae,0.577,species,local data base
Inga,acuminata,Fabaceae,0.578,genus,genus average
Inga,laurina,Fabaceae,0.661,species,local data base
Inga,nobilis,Fabaceae,0.56,species,local data base
Inga,oerstediana,Fabaceae,0.425,species,local data base
Inga,thibaudiana,Fabaceae,0.578,genus,genus average
Inga,acrocephala,Fabaceae,0.513,species,local data base
Inga,leiocalycina,Fabaceae,0.56,species,local data base
Inga,sierrae,Fabaceae,0.578,genus,genus average
Inga,aff.stenophylla,Fabaceae,0.578,genus,genus average
Inga,mortoniana,Fabaceae,0.578,genus,genus average
Inga,unidentified,Fabaceae,0.578,genus,genus average
Iriartea,deltoidea,Arecaceae,0.267,species,local data base
Iryanthera,juruensis,Myristicaceae,0.633,species, global data base
Isertia,haenkeana,Rubiaceae,0.548,genus,genus average
Isertia,laevis,Rubiaceae,0.52,species, global data base
Ixora,floribunda,Rubiaceae,0.793,genus,genus average
Jacaranda,caucana,Bignoniaceae,0.473,genus,genus average
Jacaranda,copaia,Bignoniaceae,0.351,species,local data base
Jacaratia,spinosa,Caricaceae,0.265,genus,genus average
Jatropha,curcas,Euphorbiaceae,0.17,species, global data base
Jatropha,gossypiifolia,Euphorbiaceae,0.325,genus,genus average
Jatropha,integerrima,Euphorbiaceae,0.325,genus,genus average
Khaya,senegalensis,Meliaceae,0.626,species, global data base
Klarobelia,anomala,Annonaceae,0.592,stand-level average,
Koanophyllon,wetmorei,Compositae,0.592,stand-level average,
Lacistema,aggregatum,Lacistemataceae,0.506,species,local data base
Lacmellea,panamensis,Apocynaceae,0.472,species,local data base
Lacmellea,speciosa,Apocynaceae,0.513,genus,genus average
Ladenbergia,brenesii,Rubiaceae,0.49,genus,genus average
Ladenbergia,macrocarpa,Rubiaceae,0.49,genus,genus average
Laetia,procera,Salicaceae,0.648,species,local data base
Laetia,thamnia,Salicaceae,0.66,species,local data base
Lafoensia,punicifolia,Lythraceae,0.705,species,local data base
Lagerstroemia,speciosa,Lythraceae,0.595,species, global data base
Laguncularia,racemosa,Combretaceae,0.61,species, global data base
Lantana,camara,Verbenaceae,0.592,stand-level average,
Laxoplumeria,tessmannii,Apocynaceae,0.592,stand-level average,
Leandra,roja,Melastomataceae,0.592,stand-level average,
Leandra,dichotoma,Melastomataceae,0.592,stand-level average,
Leandra,granatensis,Melastomataceae,0.592,stand-level average,
Lecointea,amazonica,Fabaceae,0.893,species,local data base
Lecythis,ampla,Lecythidaceae,0.75,species,local data base
Lennea,viridiflora,Fabaceae,0.592,stand-level average,
Leonia,glycycarpa,Violaceae,0.6,species,local data base
Leptolobium,panamense,Fabaceae,0.592,stand-level average,
Libidibia,coriaria,Fabaceae,0.592,stand-level average,
Licania,affinis,Chrysobalanaceae,0.82,genus,genus average
Licania,arborea,Chrysobalanaceae,0.622,species,local data base
Licania,cruegeriana,Chrysobalanaceae,0.82,genus,genus average
Licania,fasciculata,Chrysobalanaceae,0.82,genus,genus average
Licania,hypoleuca,Chrysobalanaceae,0.909,species,local data base
Licania,morii,Chrysobalanaceae,0.82,genus,genus average
Licania,platypus,Chrysobalanaceae,0.62,species,local data base
Licania,coba,Chrysobalanaceae,0.82,genus,genus average
Licania,macrocarpa,Chrysobalanaceae,0.82,genus,genus average
Licania,kallunkiae,Chrysobalanaceae,0.82,genus,genus average
Licaria,guianensis,Lauraceae,0.748,species, global data base
Licaria,excelsa,Lauraceae,0.787,genus,genus average
Licaria,misantlae,Lauraceae,0.787,genus,genus average
Licaria,cannella,Lauraceae,0.939,species, global data base
Lindackeria,laurina,Achariaceae,0.56,genus,genus average
Lisianthius,jefensis,Gentianaceae,0.592,stand-level average,
Lonchocarpus,atropurpureus,Fabaceae,0.758,genus,genus average
Lonchocarpus,sericeus,Fabaceae,0.705,species, global data base
Lonchocarpus,velutinus,Fabaceae,0.75,species, global data base
Lonchocarpus,heptaphyllus,Fabaceae,0.687,species,local data base
Lonchocarpus,oliganthus,Fabaceae,0.758,genus,genus average
Lonchocarpus,ferrugineus,Fabaceae,0.758,genus,genus average
Lozania,pittieri,Lacistemataceae,0.592,stand-level average,
Luehea,seemannii,Malvaceae,0.417,species,local data base
Luehea,speciosa,Malvaceae,0.44,species,local data base
Lunania,mexicana,Salicaceae,0.58,species, global data base
Lunania,parviflora,Salicaceae,0.635,species,local data base
Lycianthes,maxonii,Solanaceae,0.44,genus,genus average
Mabea,occidentalis,Euphorbiaceae,0.608,genus,genus average
Machaerium,biovulatum,Fabaceae,0.732,genus,genus average
Maclura,tinctoria,Moraceae,0.794,species,local data base
Macoubea,mesoamericana,Apocynaceae,0.414,genus,genus average
Macrocnemum,roseum,Rubiaceae,0.45,species,local data base
Macrolobium,pittieri,Fabaceae,0.619,genus,genus average
Macrolobium,costaricense,Fabaceae,0.619,genus,genus average
Malmea,dimera,Annonaceae,0.39,genus,genus average
Malouetia,quadricasarum,Apocynaceae,0.527,genus,genus average
Malpighia,albiflora,Malpighiaceae,0.592,stand-level average,
Malpighia,romeroana,Malpighiaceae,0.592,stand-level average,
Mammea,immansueta,Calophyllaceae,0.779,genus,genus average
Mangifera,indica,Anacardiaceae,0.553,species,local data base
Manihot,esculenta,Euphorbiaceae,0.592,stand-level average,
Manilkara,bidentata,Sapotaceae,0.873,species,local data base
Manilkara,zapota,Sapotaceae,0.81,species,local data base
Manilkara,chicle,Sapotaceae,1.04,species, global data base
Maprounea,guianensis,Euphorbiaceae,0.588,species,local data base
Maquira,guianensis,Moraceae,0.766,species,local data base
Maranthes,panamensis,Chrysobalanaceae,0.83,genus,genus average
Margaritaria,nobilis,Phyllanthaceae,0.616,species,local data base
Marila,lactogena,Calophyllaceae,0.592,stand-level average,
Marila,laxiflora,Calophyllaceae,0.592,stand-level average,
Marila,pluricostata,Calophyllaceae,0.592,stand-level average,
Marila,domingensis,Calophyllaceae,0.592,stand-level average,
Matayba,apetala,Sapindaceae,0.771,genus,genus average
Matayba,glaberrima,Sapindaceae,0.771,genus,genus average
Matayba,scrobiculata,Sapindaceae,0.771,genus,genus average
Matisia,aff.idroboi,Malvaceae,0.535,genus,genus average
Matisia,bracteolosa,Malvaceae,0.535,genus,genus average
Matisia,jefensis,Malvaceae,0.535,genus,genus average
Matisia,obliquifolia,Malvaceae,0.535,genus,genus average
Matisia,sanblasensis,Malvaceae,0.535,genus,genus average
Matisia,exalata,Malvaceae,0.535,genus,genus average
Mayna,grandifolia,Achariaceae,0.592,stand-level average,
Mayna,odorata,Achariaceae,0.592,stand-level average,
Maytenus,schippii,Celastraceae,0.713,genus,genus average
Melicoccus,bijugatus,Sapindaceae,0.98,genus,genus average
Meliosma,glabrata,Sabiaceae,0.479,genus,genus average
Meliosma,grandiflora,Sabiaceae,0.479,genus,genus average
Meliosma,idiopoda,Sabiaceae,0.479,genus,genus average
Meliosma,occidentalis,Sabiaceae,0.479,genus,genus average
Meliosma,hoja_grande,Sabiaceae,0.479,genus,genus average
Meliosma,frondosa,Sabiaceae,0.479,genus,genus average
Miconia,affinis,Melastomataceae,0.634,genus,genus average
Miconia,argentea,Melastomataceae,0.589,species,local data base
Miconia,centronioides,Melastomataceae,0.634,genus,genus average
Miconia,centrosperma,Melastomataceae,0.634,genus,genus average
Miconia,chrysophylla,Melastomataceae,0.62,species, global data base
Miconia,dodecandra,Melastomataceae,0.634,genus,genus average
Miconia,elata,Melastomataceae,0.47,species,local data base
Miconia,hondurensis,Melastomataceae,0.634,genus,genus average
Miconia,impetiolaris,Melastomataceae,0.747,species,local data base
Miconia,lacera,Melastomataceae,0.634,genus,genus average
Miconia,ligulata,Melastomataceae,0.634,genus,genus average
Miconia,minutiflora,Melastomataceae,0.634,genus,genus average
Miconia,multispicata,Melastomataceae,0.634,genus,genus average
Miconia,nervosa,Melastomataceae,0.634,genus,genus average
Miconia,oinochrophylla,Melastomataceae,0.634,genus,genus average
Miconia,pileata,Melastomataceae,0.634,genus,genus average
Miconia,poeppigii,Melastomataceae,0.597,species,local data base
Miconia,prasina,Melastomataceae,0.699,species,local data base
Miconia,punctata,Melastomataceae,0.634,genus,genus average
Miconia,reducens,Melastomataceae,0.62,species,local data base
Miconia,rubiginosa,Melastomataceae,0.634,genus,genus average
Miconia,serrulata,Melastomataceae,0.634,genus,genus average
Miconia,simplex,Melastomataceae,0.634,genus,genus average
Miconia,stenostachya,Melastomataceae,0.634,genus,genus average
Miconia,trinervia,Melastomataceae,0.62,species,local data base
Miconia,dorsiloba,Melastomataceae,0.634,genus,genus average
Miconia,umbriensis,Melastomataceae,0.634,genus,genus average
Miconia,doniana,Melastomataceae,0.634,genus,genus average
Micropholis,guyanensis,Sapotaceae,0.657,species, global data base
Micropholis,melinoniana,Sapotaceae,0.53,species,local data base
Micropholis,venulosa,Sapotaceae,0.67,species,local data base
Mimosa,tenuiflora,Fabaceae,1.12,species, global data base
Mimusops,elengi,Sapotaceae,0.849,species, global data base
Minquartia,guianensis,Olacaceae,0.787,species,local data base
Mollinedia,viridiflora,Monimiaceae,0.592,stand-level average,
Morella,cerifera,Myricaceae,0.592,stand-level average,
Morinda,panamensis,Rubiaceae,0.49,species, global data base
Morinda,citrifolia,Rubiaceae,0.63,species, global data base
Mortoniodendron,anisophyllum,Malvaceae,0.51,genus,genus average
Mosannona,garwoodii,Annonaceae,0.592,stand-level average,
Mosquitoxylum,jamaicense,Anacardiaceae,0.592,stand-level average,
Mouriri,gleasoniana,Melastomataceae,0.84,genus,genus average
Mouriri,myrtilloides,Melastomataceae,0.84,genus,genus average
Mouriri,panamensis,Melastomataceae,0.84,genus,genus average
Mouriri,coba,Melastomataceae,0.84,genus,genus average
Mouriri,aff.exilis,Melastomataceae,0.84,genus,genus average
Mouriri,cf.completens,Melastomataceae,0.84,genus,genus average
Muntingia,calabura,Muntingiaceae,0.3,species, global data base
Myrcia,splendens,Myrtaceae,0.8,species, global data base
Myrcia,panamensis,Myrtaceae,0.816,genus,genus average
Myrcia,fosteri,Myrtaceae,0.816,genus,genus average
Myrcia,zetekiana,Myrtaceae,0.816,genus,genus average
Myrciaria,floribunda,Myrtaceae,0.785,species, global data base
Myriocarpa,longipes,Urticaceae,0.592,stand-level average,
Myrospermum,frutescens,Fabaceae,0.83,species,local data base
Myrsine,coriacea,Primulaceae,0.647,species, global data base
Naucleopsis,naga,Moraceae,0.651,genus,genus average
Naucleopsis,ulei,Moraceae,0.67,species,local data base
Naucleopsis,straminea,Moraceae,0.651,genus,genus average
Naucleopsis,capirensis,Moraceae,0.651,genus,genus average
Nectandra,bicolor,Lauraceae,0.562,genus,genus average
Nectandra,cissiflora,Lauraceae,0.59,species,local data base
Nectandra,cuspidata,Lauraceae,0.518,species,local data base
Nectandra,fuzzy,Lauraceae,0.562,genus,genus average
Nectandra,lineata,Lauraceae,0.562,genus,genus average
Neea,roja,Nyctaginaceae,0.64,genus,genus average
Neea,amplifolia,Nyctaginaceae,0.64,genus,genus average
Neea,delicatula,Nyctaginaceae,0.64,genus,genus average
Neea,laetevirens,Nyctaginaceae,0.64,genus,genus average
Ochoterenaea,colombiana,Anacardiaceae,0.592,stand-level average,
Ochroma,pyramidale,Malvaceae,0.158,species,local data base
Ocotea,arcuata,Lauraceae,0.542,genus,genus average
Ocotea,atirrensis,Lauraceae,0.48,species,local data base
Ocotea,cernua,Lauraceae,0.454,species,local data base
Ocotea,dendrodaphne,Lauraceae,0.53,species,local data base
Ocotea,endresiana,Lauraceae,0.542,genus,genus average
Ocotea,insularis,Lauraceae,0.542,genus,genus average
Ocotea,leucoxylon,Lauraceae,0.462,species,local data base
Ocotea,meziana,Lauraceae,0.39,species, global data base
Ocotea,oblonga,Lauraceae,0.386,species,local data base
Ocotea,rubrinervis,Lauraceae,0.542,genus,genus average
Ocotea,tonduzii,Lauraceae,0.542,genus,genus average
Ocotea,veraguensis,Lauraceae,0.735,species,local data base
Ocotea,puberula,Lauraceae,0.433,species,local data base
Ocotea,whitei,Lauraceae,0.542,genus,genus average
Ocotea,hartshorniana,Lauraceae,0.38,species, global data base
Ocotea,jorge-escobarii,Lauraceae,0.542,genus,genus average
Ocotea,helicterifolia,Lauraceae,0.542,genus,genus average
Oenocarpus,mapora,Arecaceae,0.713,species,local data base
Opuntia,elatior,Cactaceae,0.592,stand-level average,
Oreopanax,capitatus,Araliaceae,0.52,genus,genus average
Ormosia,amazonica,Fabaceae,0.579,genus,genus average
Ormosia,macrocalyx,Fabaceae,0.579,genus,genus average
Ormosia,coccinea,Fabaceae,0.625,species,local data base
Ormosia,velutina,Fabaceae,0.579,genus,genus average
Ossaea,spicata,Melastomataceae,0.592,stand-level average,
Osteophloeum,platyspermum,Myristicaceae,0.466,species,local data base
Otoba,acuminata,Myristicaceae,0.389,genus,genus average
Otoba,latialata,Myristicaceae,0.389,genus,genus average
Otoba,novogranatensis,Myristicaceae,0.35,species,local data base
Otoba,parvifolia,Myristicaceae,0.426,species,local data base
Ouratea,knappiae,Ochnaceae,0.743,genus,genus average
Ouratea,lucens,Ochnaceae,0.743,genus,genus average
Ouratea,prominens,Ochnaceae,0.743,genus,genus average
Ouratea,sulcatinervia,Ochnaceae,0.743,genus,genus average
Oxandra,longipetala,Annonaceae,0.737,genus,genus average
Oxandra,panamensis,Annonaceae,0.737,genus,genus average
Oxandra,venezuelana,Annonaceae,0.737,genus,genus average
Pachira,aquatica,Malvaceae,0.377,species,local data base
Pachira,sessilis,Malvaceae,0.42,species,local data base
Palicourea,allenii,Rubiaceae,0.55,genus,genus average
Palicourea,guianensis,Rubiaceae,0.54,species,local data base
Palicourea,triphylla,Rubiaceae,0.55,genus,genus average
Palicourea,crocea,Rubiaceae,0.56,species, global data base
Palicourea,umbelliformis,Rubiaceae,0.55,genus,genus average
Palicourea,hondensis,Rubiaceae,0.55,genus,genus average
Palicourea,acuminata,Rubiaceae,0.55,genus,genus average
Palicourea,brachiata,Rubiaceae,0.55,genus,genus average
Palicourea,capitata,Rubiaceae,0.55,genus,genus average
Palicourea,cyanococca,Rubiaceae,0.55,genus,genus average
Palicourea,deflexa,Rubiaceae,0.55,genus,genus average
Palicourea,elata,Rubiaceae,0.55,genus,genus average
Palicourea,glomerulata,Rubiaceae,0.55,genus,genus average
Palicourea,gracilenta,Rubiaceae,0.55,genus,genus average
Palicourea,hoffmannseggiana,Rubiaceae,0.55,genus,genus average
Palicourea,longicuspis,Rubiaceae,0.55,genus,genus average
Palicourea,luxurians,Rubiaceae,0.55,genus,genus average
Palicourea,tomentosa,Rubiaceae,0.55,genus,genus average
Palicourea,pubescens,Rubiaceae,0.55,genus,genus average
Palicourea,racemosa,Rubiaceae,0.55,genus,genus average
Palicourea,suerrensis,Rubiaceae,0.55,genus,genus average
Panopsis,suaveolens,Proteaceae,0.512,genus,genus average
Parathesis,amplifolia,Primulaceae,0.62,genus,genus average
Parinari,chocoensis,Chrysobalanaceae,0.713,genus,genus average
Parkia,nitida,Fabaceae,0.383,species,local data base
Parkinsonia,aculeata,Fabaceae,0.622,species, global data base
Parmentiera,cereifera,Bignoniaceae,0.592,stand-level average,
Parmentiera,macrophylla,Bignoniaceae,0.592,stand-level average,
Pavonia,dasypetala,Malvaceae,0.592,stand-level average,
Pelliciera,rhizophorae,Tetrameristaceae,0.592,stand-level average,
Pentagonia,gymnopoda,Rubiaceae,0.592,stand-level average,
Pentagonia,macrophylla,Rubiaceae,0.592,stand-level average,
Pentagonia,parvifolia,Rubiaceae,0.592,stand-level average,
Pentagonia,wendlandii,Rubiaceae,0.592,stand-level average,
Pentagonia,costaricensis,Rubiaceae,0.592,stand-level average,
Pera,arborea,Peraceae,0.73,species,local data base
Pera,oppositifolia,Peraceae,0.666,genus,genus average
Perebea,angustifolia,Moraceae,0.517,species,local data base
Perebea,guianensis,Moraceae,0.56,species,local data base
Perebea,xanthochyma,Moraceae,0.56,species,local data base
Pereskia,bleo,Cactaceae,0.592,stand-level average,
Persea,americana,Lauraceae,0.549,species, global data base
Photinia,microcarpa,Rosaceae,0.724,genus,genus average
Phyllanthus,acuminatus,Phyllanthaceae,0.613,genus,genus average
Phytelephas,seemannii,Arecaceae,0.592,stand-level average,
Picramnia,latifolia,Picramniaceae,0.592,stand-level average,
Pinus,caribaea,Pinaceae,0.571,species, global data base
Piper,hispidum,Piperaceae,0.393,species,local data base
Piper,aduncum,Piperaceae,0.393,genus,genus average
Piper,aequale,Piperaceae,0.393,genus,genus average
Piper,amalago,Piperaceae,0.393,genus,genus average
Piper,arboreum,Piperaceae,0.393,genus,genus average
Piper,augustum,Piperaceae,0.393,genus,genus average
Piper,auritum,Piperaceae,0.393,genus,genus average
Piper,cordulatum,Piperaceae,0.393,genus,genus average
Piper,fimbriulatum,Piperaceae,0.393,genus,genus average
Piper,grande,Piperaceae,0.393,genus,genus average
Piper,hirtellipetiolum,Piperaceae,0.393,genus,genus average
Piper,longispicum,Piperaceae,0.393,genus,genus average
Piper,marginatum,Piperaceae,0.393,genus,genus average
Piper,perlasense,Piperaceae,0.393,genus,genus average
Piper,phytolaccifolium,Piperaceae,0.393,genus,genus average
Piper,reticulatum,Piperaceae,0.33,species,local data base
Piper,colonense,Piperaceae,0.393,genus,genus average
Piper,schiedeanum,Piperaceae,0.393,genus,genus average
Piper,imperiale,Piperaceae,0.393,genus,genus average
Piptocoma,discolor,Compositae,0.47,species, global data base
Pithecellobium,hymenaeifolium,Fabaceae,0.502,genus,genus average
Pithecellobium,lanceolatum,Fabaceae,0.502,genus,genus average
Pithecellobium,unguis-cati,Fabaceae,0.502,genus,genus average
Pittoniotis,trichantha,Rubiaceae,0.592,stand-level average,
Platymiscium,pinnatum,Fabaceae,0.721,species,local data base
Platypodium,elegans,Fabaceae,0.806,species,local data base
Pleuranthodendron,lindenii,Salicaceae,0.68,species,local data base
Pleurothyrium,aff.hexaglandulosum,Lauraceae,0.47,genus,genus average
Pleurothyrium,racemosum,Lauraceae,0.47,genus,genus average
Plinia,povedae,Myrtaceae,0.95,genus,genus average
Plumeria,rubra,Apocynaceae,0.5,species, global data base
Pochota,quinata,Malvaceae,0.592,stand-level average,
Podocarpus,guatemalensis,Podocarpaceae,0.4,species, global data base
Podocarpus,oleifolius,Podocarpaceae,0.453,species,local data base
Pogonopus,exsertus,Rubiaceae,0.592,stand-level average,
Pombalia,prunifolia,NA,0.592,stand-level average,
Posoqueria,latifolia,Rubiaceae,0.57,species,local data base
Posoqueria,coriacea,Rubiaceae,0.575,genus,genus average
Potalia,turbinata,Gentianaceae,0.592,stand-level average,
Poulsenia,armata,Moraceae,0.35,species,local data base
Pourouma,bicolor,Urticaceae,0.353,species,local data base
Pourouma,minor,Urticaceae,0.436,species,local data base
Pouteria,glomerata,Sapotaceae,0.679,species,local data base
Pouteria,buenaventurensis,Sapotaceae,0.56,species,local data base
Pouteria,bulliformis,Sapotaceae,0.688,genus,genus average
Pouteria,calistophylla,Sapotaceae,0.688,genus,genus average
Pouteria,campechiana,Sapotaceae,0.79,species,local data base
Pouteria,cuspidata,Sapotaceae,0.9,species,local data base
Pouteria,fossicola,Sapotaceae,0.688,genus,genus average
Pouteria,foveolata,Sapotaceae,0.688,genus,genus average
Pouteria,leptopedicellata,Sapotaceae,0.688,genus,genus average
Pouteria,aff.sclerocarpa,Sapotaceae,0.688,genus,genus average
Pouteria,stipitata,Sapotaceae,0.688,genus,genus average
Pouteria,torta,Sapotaceae,0.769,species,local data base
Pouteria,reticulata,Sapotaceae,0.794,species,local data base
Pouteria,congestifolia,Sapotaceae,0.688,genus,genus average
Pouteria,durlandii,Sapotaceae,0.69,species,local data base
Pouteria,silvestris,Sapotaceae,0.688,genus,genus average
Pouteria,sapota,Sapotaceae,0.855,species, global data base
Preslianthus,panamensis,NA,0.592,stand-level average,
Preslianthus,pittieri,NA,0.592,stand-level average,
Prestoea,decurrens,Arecaceae,0.25,species,local data base
Prioria,copaifera,Fabaceae,0.414,species,local data base
Prockia,crucis,Salicaceae,0.58,species,local data base
Prosopis,juliflora,Fabaceae,0.794,species, global data base
Protium,tenuifolium,Burseraceae,0.57,species,local data base
Protium,aff.guianense,Burseraceae,0.568,genus,genus average
Protium,costaricense,Burseraceae,0.568,genus,genus average
Protium,glabrum,Burseraceae,0.568,genus,genus average
Protium,panamense,Burseraceae,0.452,species,local data base
Protium,trifoliolatum,Burseraceae,0.685,species,local data base
Protium,confusum,Burseraceae,0.568,genus,genus average
Pseudima,frutescens,Sapindaceae,0.8,species, global data base
Pseudobombax,septenatum,Malvaceae,0.212,species,local data base
Pseudolmedia,spuria,Moraceae,0.713,species,local data base
Pseudolmedia,laevigata,Moraceae,0.629,species,local data base
Pseudosamanea,guachapele,Fabaceae,0.592,stand-level average,
Psidium,friedrichsthalianum,Myrtaceae,0.855,genus,genus average
Psidium,guajava,Myrtaceae,0.652,species, global data base
Psychotria,calophylla,Rubiaceae,0.496,genus,genus average
Psychotria,chagrensis,Rubiaceae,0.496,genus,genus average
Psychotria,graciliflora,Rubiaceae,0.496,genus,genus average
Psychotria,grandis,Rubiaceae,0.295,species,local data base
Psychotria,horizontalis,Rubiaceae,0.496,genus,genus average
Psychotria,limonensis,Rubiaceae,0.496,genus,genus average
Psychotria,marginata,Rubiaceae,0.496,genus,genus average
Psychotria,micrantha,Rubiaceae,0.496,genus,genus average
Psychotria,nervosa,Rubiaceae,0.496,genus,genus average
Psychotria,panamensis,Rubiaceae,0.496,genus,genus average
Psychotria,psychotriifolia,Rubiaceae,0.496,genus,genus average
Psychotria,remota,Rubiaceae,0.496,genus,genus average
Psychotria,tenuifolia,Rubiaceae,0.496,genus,genus average
Pterocarpus,acapulcensis,Fabaceae,0.627,genus,genus average
